label,text,Sentiment
0,yesterday bought panic pascal montagn degr studiohansluca,Negative
0,awar avoid increas due covid ill includ supermarket worker groceri shop onlin shop often go biggest mistak second sever groceri store swear peopl crowd,Negative
0,went straight halotopcreameri refus right,Negative
0,next prize,Negative
0,bori johnson battl buy food fuel price goug consum money th patient go crazi world version hous w today inform blog take ive concern almost got whole social distanc battl front,Negative
0,gamestop put risk worri someth ceo covid,Negative
0,statement made realis date panic due covid goe told self inflict cartoon,Negative
0,much price covid,Negative
0,sad closur,Negative
0,due covidthey r r jeden leeren kasten ein pkw eingeschlagen amp mayb talk complet irration sad,Negative
0,even eat suffer outsiz contract die viaintelligenc,Negative
0,scottish fishermen caught sorri delay enforc limit stock extra shift meet demand food comfort economi boom,Negative
0,eiggam nycgoon stranger scream everyon know hunger,Negative
0,outbreak crush labor shortag arriv back got groceri worker get killer meme sentenc self servic agent got ga price reelect hope busi behav ration amp spat custom pleas thing gone incompet rave press clip twitter user wlwlalisa partak onlin shop,Negative
0,hunger outbreak could get health care home one terrifi time shock price,Negative
0,quarantin nyc isnt go supermarket worker alreadi panic buy,Negative
0,fda issu prevent price goug complaint click unsolicit email text email unsolicit call lock hous london polic find buy pleas help horrid time,Negative
0,understand futur hit safeway delay covid blame,Negative
0,lost share battl market larger bag rice plu stall meat trade commiss say theyr good,Negative
0,stop touch everi fuck everyth go outsid supermarket home theyr short suppli avail food ration stock shelv,Negative
0,world food suppli supermarket,Negative
0,biggest oil price much feel like liter nowher g make want appli instead serv neighborhood find new report peopl trust anyon suppli gun case miss wors exampl use natur ga price plummet despit food,Negative
0,toilet paper groceri store made variou peopl covid,Negative
0,worker begin describ increas price go rot,Negative
0,mayb peopl fight covid crisi drnatalietv want judg peopl everyth make plan murder share pictur supermarket traffic la cloch,Negative
0,backupbear adamajacobi expect stimulu pay covid spread coronaviru crisi remov covid inflict everyon,Negative
0,collect amp close charg normal next week everi store line groceri store worker,Negative
0,arent rule sunbathingsocialis sit alon shop today talk social distanc mayb run normal price basic econom psycholog busi sell basic food threaten properti market rise lpg price fall feet even perish end loan around store,Negative
0,classifi key worker say bid stem impact chang consum global food system store whatev shite find,Negative
0,hike without thought cute anim need get shop everyth shelv anyth thank scientist warn happen relat product spain lockdown financi sector individu consum product home made war tank coffe call offic toilet paper product might worri secur wear face hunger food bank run amp unemploy websit,Negative
0,local boutiqu west texa produc amount onlin demonstr herculean task forc work suffer beyond april part miseri,Negative
0,deliveri metal pattyelj march tuesday anyth left hous everi onlin deliveri serv commun spirit produc process sector,Negative
0,state emerg everyth food shortag retail store went head much see endless coronaviru news focus protect folk would like,Negative
0,wait see suffer,Negative
0,note larg central texa cd busi compani,Negative
0,covid scammer alreadi amp halt shit,Negative
0,surreal amp stuff mongolia state,Negative
0,understand consum report first confirm case covid consum watchdog corpor crash bad info potenti covid world stock produc annoy go month ago keep demand suppli unlaw hike price put entir team w,Negative
0,commun spread covid oil price domest bank increas paid sick via drop covid crisi,Negative
0,ubiquit latex glove supermarket viru absolut ransack need uptod protect investig report fci godown suppli chain china handl ill famili health crisi commun graviti draw crowd,Negative
0,might smartest thing panicbuy reveal incred irrespons leav hous stop dad take action,Negative
0,delfast hard time radic acceler demis say either r crisi frontlin save march driven falter consum alert listen danni quah interview ceo sanjay beri said pleas effect hand sanit,Negative
0,food suppli chain disrupt blog,Negative
0,econom,Negative
0,shame uk result,Negative
0,shortag say can not keep buy could cours german languag chang big supermarket peopl get sign petit nobodi deserv liveabl incom due coronaviru panic buy increas demand job prospect countri live caus panic whole world,Negative
0,egg meat shop onlin,Negative
0,rmremillard hollinbrav washingtonpost agre possibl,Negative
0,sent cost lender face surg oil drop money get morn,Negative
0,see normal price month tip,Negative
0,sign time highfib diet overfish compens provid food import think local supermarket cri bbc news send kid walk groceri store realiz groceri store risk kid cough checkout line enter bull question would danger take toll surg us price shame,Negative
0,strategi direct increas,Negative
