text,Sentiment,label
advic talk neighbour famili exchang phone number creat contact list phone number neighbour school employ chemist gp set onlin shop account poss adequ suppli regular med order,Positive,1
coronaviru australia woolworth give elderli disabl dedic shop hour amid covid outbreak,Positive,1
food stock one empti pleas dont panic enough food everyon take need stay calm stay safe,Positive,1
readi go supermarket outbreak im paranoid food stock litterali empti seriou thing pleas dont panic caus shortag,Negative,0
news region first confirm covid case came sullivan counti last week peopl flock area store purchas clean suppli hand sanit food toilet paper good timdodson report,Positive,1
cashier groceri store share insight prove credibl comment im civic class know im talk,Positive,1
due covid retail store classroom atlanta open walkin busi class next two week begin monday march continu process onlin phone order normal thank understand,Positive,1
corona preventionw stop buy thing cash use onlin payment method corona spread note also prefer onlin shop home time fight covid,Negative,0
due covid situat increas demand food product wait time may longer onlin order particularli beef share freezer pack thank patienc time,Positive,1
care commun let look less capabl villag ensur stay healthi bring shop door help onlin shop self isol symptom expos somebodi,Positive,1
dont need stock food ill amazon deliv whatev need amazon,Positive,1
adara releas covid resourc center travel brand insight help travel brand stay uptod consum travel behavior trend,Positive,1
line groceri store unpredict eat safe altern find whether avoid restaur right,Positive,1
amazon glitch stymi whole food fresh groceri deliveri covid spread seen signific increas peopl shop onlin groceri spokeswoman said statement today result system impact affect,Positive,1
arent struggl pleas consid donat food bank nonprofit demand servic increas covid impact job peopl way life,Positive,1
nation infict covid world must play fair china gover must demand china adopt new guild line food safti chines gover guilti irosponc life global scale,Negative,0
amaz cheap deal go help reson dm us,Positive,1
amaz cheap deal go help reson dm us iptvlink,Positive,1
downingstreet grantshapp done ensur food essenti product restock supermarket panic buy activ discourag cannot left checkout staff polic action selfish profit,Negative,0
uk poll indic major expect impact last month march expect increas next see full result retailx coronaviru consum confid tracker,Positive,1
prepar higher demand potenti food shortag hunger coalit purchas percent food implement new protocol due covid coronaviru,Negative,0
morn test posit covid feel ok symptom far isol sinc found possibl exposur viru stay home peopl pragmat keep updat panic,Negative,0
see malici price increas nyc nyc depart consum worker protect dcwp set page digit file complaint click file complaint use wordovercharg,Negative,0
sealsoftheend soon dwindl suppli unlaw panicki peopl break close store amp supermarket raid normal crisi massiv,Negative,0
countri empti shelv peopl see buy ensu food stock,Negative,0
hole food imag nicest groceri store one richest neighborhood unit state,Positive,1
coronaviru fun fact cough groceri store get whole aisl pretti quickli,Positive,1
sorri say finfabuk event cancel due covid health wellb attende speaker staff top prioriti apolog disappoint may caus faq answer link,Negative,0
ye buy need what point post photo peopl supermarket load stuff could buy elderli parent kid sibl etc cant buy everyth need viral covid alr,Positive,1
worri impact current covid pandem financ publish tip help manag money challeng time,Positive,1
wife work retailampa custom came yesterday cough everywher say covid request deep clean store compani object due cost recommend team spray disinfectantampclean gonna dieget sick due capit,Negative,0
go supermarket like without judg,Positive,1
provid safe shop experi custom healthi environ associ commun onlin order place,Positive,1
curiou think retail shopper lot onlin shop bc theyr home unabl go think everyon spook get extra pair shoe,Positive,1
check video food usa market due coronaviru panic gonna die starvat,Negative,0
south african stock food basic good coronaviru panic hit,Negative,0
pleas share know someon live struggl get local supermarket due issu around offer free deliveri healthi soup nationwid anyon need plu freezabl,Positive,1
peopl post share photo half complet empti shelv call peopl dumb idiot shop groceri store lol,Positive,1
never thought id say come back pleas,Positive,1
everyth see current covid outbreak seen previou epidem pandem rise fear racism panic buy food medicin conspiraci theori prolifer quack cure,Negative,0
stock water caus util compani shut middl pandem school close thier door lose work caus kid go afford month worth food senatorromney,Negative,0
dear coronaviru ive follow social distanc rule stay home prevent spread howev ive spent alarm amount money shop onlin submit expens reimburs let know,Positive,1
global food price spread covid intensifi across sever geographi could see downward pressur come month due continu well suppli market neg impact demand result viru,Negative,0
morn everyon great safe day,Positive,1
thing panic buy emerg dont get toilet paper import your afraid worst case scenario wash tub use money food yall crazi,Negative,0
thank groceri clerk went groceri store today look weari eye clerk thank realiz thrust front line panick new breed first respond work hard serv commun,Positive,1
outbreak covid entir world retail shop malaysia face great challeng near futur onlin shop surpris way peopl mani lost job,Positive,1
consum corner take advantag fear,Negative,0
work capit demand packag food make us stay open oppos close health safeti,Positive,1
feel like ethic still stuff like order deliveri food onlin shop etc ship isol care packag love one etc,Positive,1
bought hous covid panic think buy food hous tragic,Negative,0
seen facebook group busi need stop increas price essenti emerg situat frankli despic total void commun spirit,Negative,0
bobjlow sadli misinform think covid give diarrhoea therefor stockpil toilet paper atm hygien food import,Negative,0
tinamccauley yeah parent riski peopl covid stay home go supermarket realli necessari stay safe,Positive,1
cn group mum live group need shield week month mean stay hope still get onlin shop need,Positive,1
hi covid thank make onlin shop,Positive,1
balaji consum side tech chines group alreadi demostr elisa test strip covid though detail lack consum though usfda would deem waiv test come easili,Positive,1
lost wage either due ill viru econom impact mean increas demand urg support bill includ support food bank flexibl school meal increas,Positive,1
action selfish ceo groceri store would time peopl shop show id saw young coupl roll tp one full crap well mayb,Negative,0
coronaviru pose complex puzzl fooddeliveri compani deliveri capac may buckl surg demand via wsj,Negative,0
thejoshuaturn loreign peanutastro myamigouk afneil borisjohnson patelwitham disgust disgrac charg inflat price item stop spread covid govern realli need someth abou,Negative,0
retail close physic store curtail hour result covid ago put addit pressur omnichannel altern like groceri deliveri curbsid pick,Positive,1
check folk cal like idea la habra supermarket offer special hour senior amid covid crisi,Positive,1
love hate head advic downingstreet amp borisjohnson blip live happen whing dont panic buy food wont run spend time famili use common sens worldhealthorg,Positive,1
open letter consumerdebt hold organ other precipic crisi household economi pleas suspend debt interestfe sixti day respons covid crisi feel free sign,Negative,0
want spread news older australian particularli still mobil without famili support,Negative,0
sadli surpris heard one payer exec lay low hope blow mind bogglingli stupid nonprofit blue plan,Negative,0
work retail keep stock back older custom frank come store bread see empti shelv say worri pal save pat n bean could get disciplin ye care got,Positive,1
attempt lengthen runway market budget slash hire frozen staf matric redrawn dive deep consum startup battl impact busi,Negative,0
pleas dont hoard food water there absolut need panic buy suppli chain complet interrupt pleas dont hoard sanit product peopl realli need probabl,Negative,0
